,sentiment,Text,Tokens,Text Length,Word Count,vander_positive,vander_negative,vsentiment,afn_score,afn_sentiment
11,1,boys needed lose weight didn food floor chubby protein rich product food higher skinny jump higher food sits going stale really food chubby losing ounce week,"['boys', 'needed', 'lose', 'weight', 'food', 'floor', 'chubby', 'protein', 'rich', 'product', 'food', 'higher', 'skinny', 'jump', 'higher', 'food', 'sits', 'going', 'stale', 'really', 'food', 'chubby', 'losing', 'ounce', 'week']",157,26,11.200000000000001,17.299999999999997,very Negative,-1.0,Negative
12,0,cats happily eating felidae platinum years just shape food different tried food bowls bowls kitties touch food noticed similar reviews related formula changes past unfortunately need food cats,"['cats', 'happily', 'eating', 'felidae', 'platinum', 'years', 'shape', 'food', 'different', 'tried', 'food', 'bowls', 'bowls', 'kitties', 'touch', 'food', 'noticed', 'similar', 'reviews', 'related', 'formula', 'changes', 'past', 'unfortunately', 'need', 'food', 'cats']",192,28,11.3,7.5,Very Positive,0.0,Neutral
13,0,good flavor came securely packed fresh delicious love twizzlers,"['good', 'flavor', 'came', 'securely', 'packed', 'fresh', 'delicious', 'love', 'twizzlers']",63,9,79.5,0.0,Very Positive,10.0,very Positive
14,1,strawberry twizzlers guilty pleasure yummy pounds,"['strawberry', 'twizzlers', 'guilty', 'pleasure', 'yummy', 'pounds']",49,6,55.00000000000001,21.7,Very Positive,3.0,very Positive
15,1,daughter loves twizzlers shipment pounds really spot exactly expect packages strawberry twizzlers,"['daughter', 'loves', 'twizzlers', 'shipment', 'pounds', 'really', 'spot', 'exactly', 'expect', 'packages', 'strawberry', 'twizzlers']",97,12,25.2,0.0,Very Positive,3.0,very Positive
16,0,love eating good watching looking movies sweet like transfer lock baggie stay fresh time eating,"['love', 'eating', 'good', 'watching', 'looking', 'movies', 'sweet', 'like', 'transfer', 'lock', 'baggie', 'stay', 'fresh', 'time', 'eating']",95,15,59.8,0.0,Very Positive,11.0,very Positive
17,1,satisfied twizzler purchase shared enjoyed definitely ordering,"['satisfied', 'twizzler', 'purchase', 'shared', 'enjoyed', 'definitely', 'ordering']",62,7,78.9,0.0,Very Positive,5.0,very Positive
18,1,twizzlers strawberry childhood favorite candy lancaster pennsylvania candies oldest confectionery firms united states subsidiary hershey company company established young smylie make apple licorice twists green color blue raspberry licorice twists like cool place recommended fridge according guinness book records longest licorice twist measured feet weighted pounds candies record breaking twist guinness world record july product kosher thank,"['twizzlers', 'strawberry', 'childhood', 'favorite', 'candy', 'lancaster', 'pennsylvania', 'candies', 'oldest', 'confectionery', 'firms', 'united', 'states', 'subsidiary', 'hershey', 'company', 'company', 'established', 'young', 'smylie', 'make', 'apple', 'licorice', 'twists', 'green', 'color', 'blue', 'raspberry', 'licorice', 'twists', 'like', 'cool', 'place', 'recommended', 'fridge', 'according', 'guinness', 'book', 'records', 'longest', 'licorice', 'twist', 'measured', 'feet', 'weighted', 'pounds', 'candies', 'record', 'breaking', 'twist', 'guinness', 'world', 'record', 'july', 'product', 'kosher', 'thank']",445,57,22.6,0.0,Very Positive,10.0,very Positive
19,1,candy delivered fast purchased reasonable price home bound unable store perfect,"['candy', 'delivered', 'fast', 'purchased', 'reasonable', 'price', 'home', 'bound', 'unable', 'store', 'perfect']",79,11,27.0,0.0,Very Positive,1.0,Positive
20,1,husband twizzlers addict bought times amazon government employees living overseas country assigned fresh tasty packed arrive timely manner,"['husband', 'twizzlers', 'addict', 'bought', 'times', 'amazon', 'government', 'employees', 'living', 'overseas', 'country', 'assigned', 'fresh', 'tasty', 'packed', 'arrive', 'timely', 'manner']",138,18,20.0,0.0,Very Positive,1.0,Positive
21,1,bought husband currently overseas loves apparently staff likes generous amounts twizzlers ounce worth price href http amazon product gvisjm twizzlers strawberry ounce bags pack,"['bought', 'husband', 'currently', 'overseas', 'loves', 'apparently', 'staff', 'likes', 'generous', 'amounts', 'twizzlers', 'ounce', 'worth', 'price', 'href', 'http', 'amazon', 'product', 'gvisjm', 'twizzlers', 'strawberry', 'ounce', 'bags', 'pack']",176,24,41.4,0.0,Very Positive,9.0,very Positive
22,1,remember buying candy quality hasn dropped years superb product disappointed,"['remember', 'buying', 'candy', 'quality', 'dropped', 'years', 'superb', 'product', 'disappointed']",76,10,27.0,20.4,Very Positive,4.0,very Positive
23,1,love candy weight watchers craving,"['love', 'candy', 'weight', 'watchers', 'craving']",34,5,51.2,0.0,Very Positive,3.0,very Positive
24,1,lived miss twizzlers visit visits stock sell mexico faithful buyer able right,"['lived', 'miss', 'twizzlers', 'visit', 'visits', 'stock', 'sell', 'mexico', 'faithful', 'buyer', 'able', 'right']",77,12,20.0,11.0,Very Positive,1.0,Positive
25,1,product received advertised href http amazon product gvisjm twizzlers strawberry ounce bags pack,"['product', 'received', 'advertised', 'href', 'http', 'amazon', 'product', 'gvisjm', 'twizzlers', 'strawberry', 'ounce', 'bags', 'pack']",96,13,12.4,0.0,Very Positive,0.0,Neutral
26,0,candy just flavor just plan chewy,"['candy', 'flavor', 'plan', 'chewy']",33,6,0.0,0.0,Neutral,0.0,Neutral
27,0,glad amazon carried batteries hard time finding unique size need garage door opener great deal price,"['glad', 'amazon', 'carried', 'batteries', 'hard', 'time', 'finding', 'unique', 'size', 'need', 'garage', 'door', 'opener', 'great', 'deal', 'price']",100,16,39.6,6.3,Very Positive,5.0,very Positive
28,1,diabetic needs watch sugar intake father simply chooses limit unnecessary sugar intake sweet tooth loved toffees guess sugar free great pretty guilt free impressed ordered dark chocolate office instead snacking sugary sweets just excellent,"['diabetic', 'needs', 'watch', 'sugar', 'intake', 'father', 'simply', 'chooses', 'limit', 'unnecessary', 'sugar', 'intake', 'sweet', 'tooth', 'loved', 'toffees', 'guess', 'sugar', 'free', 'great', 'pretty', 'guilt', 'free', 'impressed', 'ordered', 'dark', 'chocolate', 'office', 'instead', 'snacking', 'sugary', 'sweets', 'excellent']",239,34,54.1,3.6999999999999997,Very Positive,14.0,very Positive
29,1,know cactus tequila just unique combination ingredients flavour sauce makes kind picked bottle trip brought home totally blown away realized simply couldn city bummed magic internet case sauce ecstatic love sauce mean really love sauce want sauce tastelessly burns throat grab bottle tequila picante gourmet inclan just realize taste want sauce thank personal incredible service,"['know', 'cactus', 'tequila', 'unique', 'combination', 'ingredients', 'flavour', 'sauce', 'makes', 'kind', 'picked', 'bottle', 'trip', 'brought', 'home', 'totally', 'blown', 'away', 'realized', 'simply', 'city', 'bummed', 'magic', 'internet', 'case', 'sauce', 'ecstatic', 'love', 'sauce', 'mean', 'really', 'love', 'sauce', 'want', 'sauce', 'tastelessly', 'burns', 'throat', 'grab', 'bottle', 'tequila', 'picante', 'gourmet', 'inclan', 'realize', 'taste', 'want', 'sauce', 'thank', 'personal', 'incredible', 'service']",378,55,30.2,0.0,Very Positive,16.0,very Positive
30,1,huge coffee mother purchased little machine talked trying latte macciato coffee shop better like products usually coffee drinker little dolche guesto machine super easy prepares really good coffee latte cappuccino minute water heated recommend dolce gusto good price getting,"['huge', 'coffee', 'mother', 'purchased', 'little', 'machine', 'talked', 'trying', 'latte', 'macciato', 'coffee', 'shop', 'better', 'like', 'products', 'usually', 'coffee', 'drinker', 'little', 'dolche', 'guesto', 'machine', 'super', 'easy', 'prepares', 'really', 'good', 'coffee', 'latte', 'cappuccino', 'minute', 'water', 'heated', 'recommend', 'dolce', 'gusto', 'good', 'price', 'getting']",274,39,42.699999999999996,0.0,Very Positive,17.0,very Positive
31,1,offer great price great taste thanks amazon selling product staral,"['offer', 'great', 'price', 'great', 'taste', 'thanks', 'amazon', 'selling', 'product', 'staral']",66,10,68.10000000000001,0.0,Very Positive,8.0,very Positive
32,0,mccann instant oatmeal great oatmeal scrape minutes prepare escaping fact best instant oatmeal near good store brand oatmeal requiring stovetop preparation mccann good gets instant oatmeal better organic natural brands tried varieties mccann variety pack taste good prepared microwave adding boiling water convenient extreme time issue mccann actual cane sugar instead high fructose corn syrup helped decide product real sugar tastes better harmful stuff thing like mccann thickeners oats plus water plus heat make creamy tasty oatmeal need guar convenience product maybe guar sitting bowl instant mccann gluey,"['mccann', 'instant', 'oatmeal', 'great', 'oatmeal', 'scrape', 'minutes', 'prepare', 'escaping', 'fact', 'best', 'instant', 'oatmeal', 'near', 'good', 'store', 'brand', 'oatmeal', 'requiring', 'stovetop', 'preparation', 'mccann', 'good', 'gets', 'instant', 'oatmeal', 'better', 'organic', 'natural', 'brands', 'tried', 'varieties', 'mccann', 'variety', 'pack', 'taste', 'good', 'prepared', 'microwave', 'adding', 'boiling', 'water', 'convenient', 'extreme', 'time', 'issue', 'mccann', 'actual', 'cane', 'sugar', 'instead', 'high', 'fructose', 'corn', 'syrup', 'helped', 'decide', 'product', 'real', 'sugar', 'tastes', 'better', 'harmful', 'stuff', 'thing', 'like', 'mccann', 'thickeners', 'oats', 'plus', 'water', 'plus', 'heat', 'make', 'creamy', 'tasty', 'oatmeal', 'need', 'guar', 'convenience', 'product', 'maybe', 'guar', 'sitting', 'bowl', 'instant', 'mccann', 'gluey']",610,88,28.599999999999998,0.0,Very Positive,20.0,very Positive
33,0,good instant oatmeal best oatmeal brand uses cane sugar instead high fructouse corn syrup does better sweetness doctors form sugar better great cold morning time make mccann steel oats apple cinnamon best maple brown sugar regular good plus require doctoring actually tell flavors apart,"['good', 'instant', 'oatmeal', 'best', 'oatmeal', 'brand', 'uses', 'cane', 'sugar', 'instead', 'high', 'fructouse', 'corn', 'syrup', 'better', 'sweetness', 'doctors', 'form', 'sugar', 'better', 'great', 'cold', 'morning', 'time', 'make', 'mccann', 'steel', 'oats', 'apple', 'cinnamon', 'best', 'maple', 'brown', 'sugar', 'regular', 'good', 'plus', 'require', 'doctoring', 'actually', 'tell', 'flavors', 'apart']",286,44,43.1,0.0,Very Positive,19.0,very Positive
34,1,instant oatmeal soggy minute water hits bowl mccann instant oatmeal holds texture excellent flavor good time mccann regular meal excellent longer prepare time morning best instant brand eaten close second instant variety mccann instant irish oatmeal variety pack regular apples cinnamon maple brown sugar count boxes pack,"['instant', 'oatmeal', 'soggy', 'minute', 'water', 'hits', 'bowl', 'mccann', 'instant', 'oatmeal', 'holds', 'texture', 'excellent', 'flavor', 'good', 'time', 'mccann', 'regular', 'meal', 'excellent', 'longer', 'prepare', 'time', 'morning', 'best', 'instant', 'brand', 'eaten', 'close', 'second', 'instant', 'variety', 'mccann', 'instant', 'irish', 'oatmeal', 'variety', 'pack', 'regular', 'apples', 'cinnamon', 'maple', 'brown', 'sugar', 'count', 'boxes', 'pack']",321,47,25.2,0.0,Very Positive,12.0,very Positive
35,0,mccann instant irish oatmeal variety pack regular apples cinnamon maple brown sugar count boxes pack mccann steel oats thought instant variety hardy meal sweet great folks like post bariatric surgery need food palatable easily digestible fiber make bloat,"['mccann', 'instant', 'irish', 'oatmeal', 'variety', 'pack', 'regular', 'apples', 'cinnamon', 'maple', 'brown', 'sugar', 'count', 'boxes', 'pack', 'mccann', 'steel', 'oats', 'thought', 'instant', 'variety', 'hardy', 'meal', 'sweet', 'great', 'folks', 'like', 'post', 'bariatric', 'surgery', 'need', 'food', 'palatable', 'easily', 'digestible', 'fiber', 'make', 'bloat']",254,38,35.099999999999994,0.0,Very Positive,9.0,very Positive
36,1,celiac disease product lifesaver better getting half price grocery health food store love mccann instant oatmeal flavors thanks abby,"['celiac', 'disease', 'product', 'lifesaver', 'better', 'getting', 'half', 'price', 'grocery', 'health', 'food', 'store', 'love', 'mccann', 'instant', 'oatmeal', 'flavors', 'thanks', 'abby']",132,19,47.9,0.0,Very Positive,10.0,very Positive
37,1,need know oatmeal instant make half milk raisins nuke seconds expensive kroger store brand oatmeal maybe little tastier better texture just oatmeal convenient,"['need', 'know', 'oatmeal', 'instant', 'make', 'half', 'milk', 'raisins', 'nuke', 'seconds', 'expensive', 'kroger', 'store', 'brand', 'oatmeal', 'maybe', 'little', 'tastier', 'better', 'texture', 'oatmeal', 'convenient']",158,23,10.6,0.0,Very Positive,2.0,Positive
38,0,visiting friend nate morning coffee came storage room packet mccanns instant irish oatmeal suggested stash nate dose chance ended trying apple cinn tastefull water powdered milk goes good coffee slice toast ready world jerry reith,"['visiting', 'friend', 'nate', 'morning', 'coffee', 'came', 'storage', 'room', 'packet', 'mccanns', 'instant', 'irish', 'oatmeal', 'suggested', 'stash', 'nate', 'dose', 'chance', 'ended', 'trying', 'apple', 'cinn', 'tastefull', 'water', 'powdered', 'milk', 'goes', 'good', 'coffee', 'slice', 'toast', 'ready', 'world', 'jerry', 'reith']",230,35,25.5,0.0,Very Positive,6.0,very Positive
39,1,ordered wife reccomended daughter morning likes flavors happy happy href http amazon product mccann instant irish oatmeal variety pack regular apples cinnamon maple brown sugar count boxes pack,"['ordered', 'wife', 'reccomended', 'daughter', 'morning', 'likes', 'flavors', 'happy', 'happy', 'href', 'http', 'amazon', 'product', 'mccann', 'instant', 'irish', 'oatmeal', 'variety', 'pack', 'regular', 'apples', 'cinnamon', 'maple', 'brown', 'sugar', 'count', 'boxes', 'pack']",193,28,33.1,0.0,Very Positive,8.0,very Positive
40,1,variety packs taste great morning cents meal understand earth buying stuff maple brown sugar terrific followed apples cinnamon followed regular tired thing taste great just boil water small packet bowl pour boiling water watch expand size taste really good takes minutes prepare sure earth convenient healthy quick excellent quality extremely cheap,"['variety', 'packs', 'taste', 'great', 'morning', 'cents', 'meal', 'understand', 'earth', 'buying', 'stuff', 'maple', 'brown', 'sugar', 'terrific', 'followed', 'apples', 'cinnamon', 'followed', 'regular', 'tired', 'thing', 'taste', 'great', 'boil', 'water', 'small', 'packet', 'bowl', 'pour', 'boiling', 'water', 'watch', 'expand', 'size', 'taste', 'really', 'good', 'takes', 'minutes', 'prepare', 'sure', 'earth', 'convenient', 'healthy', 'quick', 'excellent', 'quality', 'extremely', 'cheap']",348,51,36.199999999999996,4.1000000000000005,Very Positive,19.0,very Positive
41,1,mccann makes oatmeal oatmeal connoisseur likes pellet state cooks half hour sloth addled instant microwave minutes good sure beauty instant variety available different flavors regular variety pack allows different tastes explored giving chance experience difference mccann known oatmeals personally like mccann cooks thicker body brand america apples cinnamon tends little liquidy want experiment water watt microwave oatmeal cooks minute seven seconds watch handle time water thing consider thing offering count boxes good family oatmeal eaters single person love oatmeal,"['mccann', 'makes', 'oatmeal', 'oatmeal', 'connoisseur', 'likes', 'pellet', 'state', 'cooks', 'half', 'hour', 'sloth', 'addled', 'instant', 'microwave', 'minutes', 'good', 'sure', 'beauty', 'instant', 'variety', 'available', 'different', 'flavors', 'regular', 'variety', 'pack', 'allows', 'different', 'tastes', 'explored', 'giving', 'chance', 'experience', 'difference', 'mccann', 'known', 'oatmeals', 'personally', 'like', 'mccann', 'cooks', 'thicker', 'body', 'brand', 'america', 'apples', 'cinnamon', 'tends', 'little', 'liquidy', 'want', 'experiment', 'water', 'watt', 'microwave', 'oatmeal', 'cooks', 'minute', 'seven', 'seconds', 'watch', 'handle', 'time', 'water', 'thing', 'consider', 'thing', 'offering', 'count', 'boxes', 'good', 'family', 'oatmeal', 'eaters', 'single', 'person', 'love', 'oatmeal']",572,79,28.000000000000004,0.0,Very Positive,19.0,very Positive
42,1,mccann oatmeal morning ordering amazon able save great product tastes great healthy,"['mccann', 'oatmeal', 'morning', 'ordering', 'amazon', 'able', 'save', 'great', 'product', 'tastes', 'great', 'healthy']",83,12,69.3,0.0,Very Positive,10.0,very Positive
43,1,mccann oatmeal good quality choice favorite apples cinnamon overly sugary good breakfast minutes excellent,"['mccann', 'oatmeal', 'good', 'quality', 'choice', 'favorite', 'apples', 'cinnamon', 'overly', 'sugary', 'good', 'breakfast', 'minutes', 'excellent']",106,14,55.60000000000001,0.0,Very Positive,13.0,very Positive
44,1,really like mccann steel oats cook tastes better grocery store brands just convenient keeps eating oatmeal regularly good thing,"['really', 'like', 'mccann', 'steel', 'oats', 'cook', 'tastes', 'better', 'grocery', 'store', 'brands', 'convenient', 'keeps', 'eating', 'oatmeal', 'regularly', 'good', 'thing']",127,19,34.9,0.0,Very Positive,7.0,very Positive
45,0,little wholesome supermarket brands somewhat mushy doesn quite flavor didn pass muster kids probably,"['little', 'wholesome', 'supermarket', 'brands', 'somewhat', 'mushy', 'quite', 'flavor', 'pass', 'muster', 'kids', 'probably']",100,14,0.0,0.0,Neutral,0.0,Neutral
46,1,good oatmeal like apple cinnamon best wouldn follow directions package comes soupy taste just like oatmeal really milk,"['good', 'oatmeal', 'like', 'apple', 'cinnamon', 'best', 'follow', 'directions', 'package', 'comes', 'soupy', 'taste', 'like', 'oatmeal', 'really', 'milk']",118,18,46.400000000000006,0.0,Very Positive,10.0,very Positive
47,0,flavors good differce oaker oats brand mushy,"['flavors', 'good', 'differce', 'oaker', 'oats', 'brand', 'mushy']",44,7,32.6,0.0,Very Positive,3.0,very Positive
48,0,really like maple brown sugar flavor regular fine brown sugar added apples cinnamon flavor quick easy satisfying breakfast order brand variety maple brown sugar,"['really', 'like', 'maple', 'brown', 'sugar', 'flavor', 'regular', 'fine', 'brown', 'sugar', 'added', 'apples', 'cinnamon', 'flavor', 'quick', 'easy', 'satisfying', 'breakfast', 'order', 'brand', 'variety', 'maple', 'brown', 'sugar']",160,24,34.4,0.0,Very Positive,5.0,very Positive
49,0,stuff stores healthy just carbs sugars save money taste,"['stuff', 'stores', 'healthy', 'carbs', 'sugars', 'save', 'money', 'taste']",55,9,45.7,0.0,Very Positive,4.0,very Positive
50,0,oatmeal good mushy soft like quaker oats,"['oatmeal', 'good', 'mushy', 'soft', 'like', 'quaker', 'oats']",40,7,51.9,0.0,Very Positive,5.0,very Positive
51,1,free package bottle bloody mary bought seller advertising worked tried shared buddies loved noticed reviews burn mouth forever nice temp perfect,"['free', 'package', 'bottle', 'bloody', 'mary', 'bought', 'seller', 'advertising', 'worked', 'tried', 'shared', 'buddies', 'loved', 'noticed', 'reviews', 'burn', 'mouth', 'forever', 'nice', 'temp', 'perfect']",144,21,47.4,8.5,Very Positive,8.0,very Positive
52,0,wasn stock time looked vermont country store weston harp cranberry horseradish sauce fartless black bean salsa apple cider jelly newton cradle motion staple vermont maple syrup kickin peanuts activate perspiration glands ears arms requires beverage advertised glass cold milk kleenex make nose look like ordinary peanuts giving ideas work suspect people hitting goodies absence especially colleague greg going work earliest opportunity contents ordinary planters peanuts crying nose running return shaken ensure spices evenly distributed important wash hands consumption touch eyes nuts kickin peanuts sharing peanuts deliberately probably greg harp christmas insulted,"['stock', 'time', 'looked', 'vermont', 'country', 'store', 'weston', 'harp', 'cranberry', 'horseradish', 'sauce', 'fartless', 'black', 'bean', 'salsa', 'apple', 'cider', 'jelly', 'newton', 'cradle', 'motion', 'staple', 'vermont', 'maple', 'syrup', 'kickin', 'peanuts', 'activate', 'perspiration', 'glands', 'ears', 'arms', 'requires', 'beverage', 'advertised', 'glass', 'cold', 'milk', 'kleenex', 'make', 'nose', 'look', 'like', 'ordinary', 'peanuts', 'giving', 'ideas', 'work', 'suspect', 'people', 'hitting', 'goodies', 'absence', 'especially', 'colleague', 'greg', 'going', 'work', 'earliest', 'opportunity', 'contents', 'ordinary', 'planters', 'peanuts', 'crying', 'nose', 'running', 'return', 'shaken', 'ensure', 'spices', 'evenly', 'distributed', 'important', 'wash', 'hands', 'consumption', 'touch', 'eyes', 'nuts', 'kickin', 'peanuts', 'sharing', 'peanuts', 'deliberately', 'probably', 'greg', 'harp', 'christmas', 'insulted']",668,91,13.900000000000002,11.4,Very Positive,-1.0,Negative
53,0,used spicy foods south texas spicy doubt habanero used notch,"['used', 'spicy', 'foods', 'south', 'texas', 'spicy', 'doubt', 'habanero', 'used', 'notch']",60,10,0.0,21.7,very Negative,-1.0,Negative
54,0,roast home stove popcorn popper outside course beans coffee bean direct green mexican altura suited method second cracks distinct roasted beans medium slightly dark great results time aroma strong persistent taste smooth velvety lively,"['roast', 'home', 'stove', 'popcorn', 'popper', 'outside', 'course', 'beans', 'coffee', 'bean', 'direct', 'green', 'mexican', 'altura', 'suited', 'method', 'second', 'cracks', 'distinct', 'roasted', 'beans', 'medium', 'slightly', 'dark', 'great', 'results', 'time', 'aroma', 'strong', 'persistent', 'taste', 'smooth', 'velvety', 'lively']",235,34,24.4,0.0,Very Positive,9.0,very Positive
55,1,roast large cast iron grill time smell wonderful roasted beans taste delicious importantly coffee smooth bitter aftertaste numerous occasions send roasted beans home friends like,"['roast', 'large', 'cast', 'iron', 'grill', 'time', 'smell', 'wonderful', 'roasted', 'beans', 'taste', 'delicious', 'importantly', 'coffee', 'smooth', 'bitter', 'aftertaste', 'numerous', 'occasions', 'send', 'roasted', 'beans', 'home', 'friends', 'like']",178,25,41.199999999999996,7.5,Very Positive,7.0,very Positive
56,1,deal awesome arrived halloween indicated satisfy trick treaters love quality product expensive local store candy,"['deal', 'awesome', 'arrived', 'halloween', 'indicated', 'satisfy', 'trick', 'treaters', 'love', 'quality', 'product', 'expensive', 'local', 'store', 'candy']",112,15,48.1,5.1,Very Positive,9.0,very Positive
57,1,chocolate great variety family loves family goes fast perfect variety reeses,"['chocolate', 'great', 'variety', 'family', 'loves', 'family', 'goes', 'fast', 'perfect', 'variety', 'reeses']",76,11,59.0,0.0,Very Positive,9.0,very Positive
58,1,great product nice combination chocolates perfect size bags plenty shipped promptly kids neighborhood liked candies,"['great', 'product', 'nice', 'combination', 'chocolates', 'perfect', 'size', 'bags', 'plenty', 'shipped', 'promptly', 'kids', 'neighborhood', 'liked', 'candies']",115,15,54.900000000000006,0.0,Very Positive,12.0,very Positive
59,1,halloween sent daughters class share chocolate fresh enjoyed,"['halloween', 'sent', 'daughters', 'class', 'share', 'chocolate', 'fresh', 'enjoyed']",60,8,60.9,0.0,Very Positive,4.0,very Positive
60,0,watch prices assortment good gold purchase price target,"['watch', 'prices', 'assortment', 'good', 'gold', 'purchase', 'price', 'target']",55,8,29.299999999999997,0.0,Very Positive,5.0,very Positive
61,1,candy online pretty expensive cheaper order compete grocery stores good combination favorite candy,"['candy', 'online', 'pretty', 'expensive', 'cheaper', 'order', 'compete', 'grocery', 'stores', 'good', 'combination', 'favorite', 'candy']",98,13,47.599999999999994,0.0,Very Positive,6.0,very Positive
62,0,arrived days stale bags,"['arrived', 'days', 'stale', 'bags']",23,4,0.0,0.0,Neutral,0.0,Neutral
